id,author,im:version,im:rating,title,content
6323623861,NannaJ.,4.31.0,5,Efficient Service,I have been using this Echo app for a couple of months now and am very impressed with it.On one occasion I was going to request the wrong tablets and this was quickly brought to my attention by a member of staff.Many thanks.
6319526061,neat weat,4.31.0,5,No Need To Worry,"This is a brilliant idea. And would recommend it to anyone disabled or getting on in years.!
Would recommend to everyone who has not heard about your service.
Thank You!"
6315008095,hanger281,4.31.0,5,Top notch,Very easy to use and service top notch.
6313731271,Poodle73,4.31.0,5,Excellent app,Echo is so easy to use and so much better than my Doctor’s repeat prescription service
6311456268,Blackpoollad39,4.30.0,5,Great Service,"My wife and Me are self isolating, having used Lloyd’s who stopped delivering, 
We were recommended to use Echo after a couple issues at the beginning everything is going along great,
We would recommend that if anyone is in the same predicament as we were get it touch with Echo.
Gordon & Angela Southall in Birmingham"
6306463206,fitelles,4.30.0,5,NW,"Awesome, easy, fast and free, can’t fault it."
6305288069,MLancs,4.30.0,5,Great,Great service for busy people like me.
6294872368,rizladoo,4.30.0,5,Shahid Rauf,"Echo supplies and support for repeat prescription is a great service. 
I appreciate the service ."
6289957412,Mrs Social,4.30.0,5,Tablets,"Excellent service on keeping me up to date reminding me to take my tablets.
Also very good service for delivering my tablets. Well done and thank you."
6287477022,Zunders321,4.30.0,1,Dreadful service!!,"The app failed to update the progress of my prescription. Although my GP had issued the prescription first thing Monday morning, Echo maintained they were still waiting for my GP to forward it on Wednesday afternoon. I contacted Echo through the app & was again told the problem lay with my GP. I contacted my surgery again, they provided a reference number to prove it had been sent at 9am on Monday. I managed to speak to someone at Echo by telephone Thursday morning, they admitted the error was due to a technical difficulty they were having. They said they would release the prescription so that I could pick it up at a local pharmacy. The pharmacist attempted to issue the prescription but was unable to as it was still held by Echo. Several calls hi Echo & my GP (by the lovely pharmacist & myself) & still no resolution. Echo has admitted the problem is entirely their fault but that doesn’t help when my medication is now going to run out. Hopefully my GP be able to reissue another prescription tomorrow afternoon. So it’ll be another day way for medication that should have been delivered quickly by post."
6287183625,Tree28us,4.30.0,5,Excellent service,This app is brilliant makes ordering my medication so easy request it then pay for it  pills  sent out delivered in a couple of days Royal Mail tracked  fast efficient service thank you
6286216684,Susiesoxa,4.30.0,2,Hopeless,"I am finding Echo much trickier than expected. On the same day I have messages to say meds dispatched and also saying Meds are low and need reordering! How confusing for a Senior first time user of the App. Yesterday I received a message to say the Meds were out of stock until 11th August... quite which message is correct I have yet to discover! Perhaps the second time of use the App will be clearer, fingers X’d."
6283794517,Bernie_17,4.30.0,5,Amazing,This is absolutely amazing service. Get text when I need to re order my meds. It is truly brilliant
6282304071,smolpengyuin,4.30.0,5,Really good!,easy to use and i always get my medication on time :)
6282038072,Nwad20,4.23.2,5,Dawn,Excellent service does exactly as promised
6279414660,FREDTHE DOG,4.23.2,5,Good stuff,"They tell me when to order my prescription
Good stuff"
6278513150,Mr Crispin,4.23.2,5,Missing Prescription Slip,"I’ve only had one delivery service so far, and I didn’t get the green prescription slip I would normally have got if I’d picked the prescription up from a pharmacy.
Please provide the slip on future."
6274817135,PaddlinMaddlin,4.23.2,5,Good service,"Highly recommend using this service, especially now as don’t want to venture out to collect prescriptions."
6271905493,sod your review,4.23.2,5,Saves so much time,"My repeat prescription was always a pain having to queue up in the pharmacy wait for ages for the staff to check my details then try and find my item. 
Now a couple of clicks when I’m getting low and a few days later the medication arrives in the post
No more queuing 
No more wasted time
Recommended"
6270997455,midgegen,4.23.2,5,Perfect,"Once set up this is so easy to use, reminders for taking medication, requests, make this invaluable for my current health needs."
6268349309,xyz 345,4.23.2,5,Hard to fault,Convenient and reliable app so easy to navigate
6266722169,DeamanF,4.23.2,1,Poor,"Narcolepsy medication has been out of stock for days. I’ve run out. Don’t need to explain how that’s working out. They have a service to contact them optimistically called ‘chat’ but actually you send a message and get a reply the next day. Unless it’s the weekend obviously. No updates on what’s going on, no information on when I can expect to get it. Nothing. Several other drugs out of stock as well though I think that’s a national thing though they have given no indication of this. If you have important medicines stay well away. I’d say the risk of going to the pharmacy and catching COVID 19 is far less scary to me than the devastation caused by signing up to this service. Now have to work out how to get out."
6264555862,MonsterMol,4.23.2,3,Nearly Perfect,This app would have received 5 stars were it not for the fact it randomly cancelled my repeat prescription and won’t let me reorder it. I’ve being trying all day. I wanted to speak with someone regarding this but had to use the “ Contact a support team”. I first left the message on there 7 hours ago and it’s still not been looked at. I work in customer service and if I left my customers that long I would be fired. So I’m reduced to writing on here. If I’m honest I’m not holding out much hope of this either being read or acted upon. I just want my to reorder my medication as the app keeps telling to.
6262805046,ronaitch,4.23.2,3,Works well but .....,Works fine but seems to get confused about what tablets are needed when.
6258987043,Hetty Boom Ting,4.23.2,5,Cannot fault 😁,"Was casually playing a game, it had an ad for ‘Echo’, it was an instant reminder that I needed to order a prescription (thank you 🙂). 
I installed the app.  Registered with my personal details and medications which was quick and painless.  It only took roughly 24 hours for the prescription to be verified by my surgery.
I was notified that my prescription request had been verified by the pharmacy and that payment was required.  Once again, the process was quick and painless.
Within about an hour I was notified that my prescription had been checked and was being dispatched, they sent me a tracking number also.
This method of ordering my repeat prescriptions will save me miles in journeys, will save me lots of time queuing at the already busy pharmacy, and will save the pharmacy staff from having to serve me.  It will avoid close proximity to others during this Covid crisis.  Would totally recommend this service.
The App is very easy to use, and I find it very reassuring that the user is able to check on the progress of their prescription request at any time.
Top marks guys, very pleased with the App and the service overall 😁"
6255844911,amaani.nisha,4.23.2,5,"Easy, much needed app!","I’ve been using this ever since I’ve had prescription med and it’s just been a life saver I no longer need to to the pharmacy! 

It very easy to use, simple, great. 

Highly recommend!"
6244394098,"Tracy, Kent UK",4.23.2,5,A godsend for repeat prescriptions during lockdown,"We’ve been using this to order prescription eye drops that run out every 30 days and it means we no longer have to physically visit the GP surgery to post a note asking for a prescription and no longer have to visit the chemist to collect.

Really pleased we found this service."
6243195021,Carl.J.Wood,4.23.2,5,Excellent Service,Started to use Echo during lockdown chemist due to ever changing shift patterns at work. Cannot fault the service.
6241053681,AGN2020,4.23.2,5,For better service,I am still struggling to order in time. Two of my medicines finished two weeks ago and my order seems to gone in black hole and I have to reorder it to day.
6239730390,annie/harry,4.23.2,5,Repeat prescriptions,"Prescribed medication always arrived on time.
Would recommend Echo"
6236029642,cathysparkle,4.23.2,5,So Simple,So simple to use just tap on what you need to order and in no time it’s delivered wonderful and so easy thankyou
6233366592,ponycorny,4.23.2,1,Stressful!,"Ordering medication is so stressful, ordered a week ago, my GP still hasn’t issued a prescription & ran out now, it’s ridiculous you have to order about 2-3 weeks before prescription is due so get it in time, think will revert back to collecting myself it’s actually less stressful!"
6231877587,Allymaz,4.23.2,5,Excellent,Efficient & very professional
6231382174,wolski7,4.23.2,5,Great service,I have just started using this service... its so easy and quick
6231163468,Benedict law,4.23.2,5,Great service,Signing up for free prescription delivery from Echo is possibly the best decision I’ve ever made!
6227035021,beanerbean01,4.23.2,5,Mr facey,So easy to use don’t even need to go out
6227022845,lol lol hi hi,4.23.2,5,Excellent service!,Love the fact I am reminded when I am running low on medication.
6226581677,randpm123,4.23.2,3,Slightly confusing,"Echo at some stage évider to randomly split my regular monthly list of 5 meds into smaller groups, sometimes a group of one. This means it is difficult to request the entire list and one gets multiple deliveries - which seems inefficient. It also means one loses confidence that everything will arrive in time"
6225334810,damian10d,4.23.2,4,Don't like tha last update,So I ordered before few times same medication and now you need to ask some questions and review it? Seriously? I know what drugs I need. Don't complicate simple thing or I will go elsewhere.
6224900255,brasshat doorknob,4.23.2,5,Brilliant app,Excellent method for reminding delivering and arranging my meds! No hassle! Just really straight forward. Highly recommended 👍👍😁😁
