reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOEJiM8OEgUxMGks8P0yJKSySPqXm6RrRyPthuCQ88cmBrrNzwC6i2KBVH6O8xFOfgfKHeITQH01UqHR7A,Yvonne Read,https://play-lh.googleusercontent.com/-_49DhtxJFGg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckfkoxXsyTOCc7OzuTK1RYT-8x-CQ/photo.jpg,Not sure,2,0,4.30.0,2020-08-28 21:39:44,,
gp:AOqpTOEWYOsugfuYBk638tiJiRMBQqZ9DGBjNNYRD6Fueg4U-Ax5JNuo6mpDo9pNO8EWAo5LJ7fyzp__nbcpEg,Charlie Davey,https://play-lh.googleusercontent.com/-U2rhmdO2970/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckbBFUufkmsFvFsWN_l1bKdQbgfHg/photo.jpg,Always prompt and good service.,5,0,4.22.0,2020-08-28 21:04:35,,
gp:AOqpTOFo9vj2j6cpzLP8tQChbw-PwKYbBr5LybJZMRzI5N2nD_oP-7wygz4P9tyfadKwjGXByZfjyqy36o3n1A,Symon Strange,https://lh3.googleusercontent.com/-O3d_Ym3hXcA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclIT2TCJxdkOx87Y9t3iNYZ9CxdlA/photo.jpg,They gave my medication to a random drug addict in my building and refused to issue a replacement.,1,0,4.31.0,2020-08-28 17:02:40,,
gp:AOqpTOF5dCE_byihPyrs3w0LIki4m82CjeZHKUyRUwRw30695TRW-Pq-1eqpxjDlafeT20AZWAcTtPuvZQaN2w,Paul Smith,https://lh3.googleusercontent.com/a-/AOh14GiNEY0uPTNiEQZUCi0jc9grPskFsIfAJVQsGMR_aA,Not good at all. Doesn't allow you to specify the size of items when there is more than one option available at the pharmacy.,1,0,4.31.0,2020-08-27 14:49:24,,
gp:AOqpTOGitR7Fg6uI9RPKuwC5IIK5ME4SdguKySMvDgnVXroZth7Q8z8ve4x46IcmhpkxtySgdfxmrLu10mmiXw,Mandi Phillips,https://play-lh.googleusercontent.com/-gpkHCkrXS3w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl1a8mUYS_Ex5tmutI7Wg1lUs9LBg/photo.jpg,Very good my prescriptions are very quick,5,0,4.22.0,2020-08-27 14:45:11,,
gp:AOqpTOETwX__4RfXdIQBobVOnJK8n85-BQrZtki0Y2ZCdKUb6wV4RMN5d8ez_X2OT2yKWFL6waNUsql_eDzuHg,Dale Kudsy,https://lh3.googleusercontent.com/a-/AOh14GjsdnTgEu1Mn-I84HFB3gU1FsOhrYHNQHpjx-JYbA,Excellent,5,0,4.22.0,2020-08-27 00:53:56,,
gp:AOqpTOGIswX1-l7X2uPvyqhmQs5xiftpjyEwBkDZoW79IVoOuYQCjmqhvOCv_UujZeSwPjBq7kWdwJlCPhux3A,Peter Trengove,https://lh3.googleusercontent.com/a-/AOh14GiJCwL0QpLakeShOGIeQI4334oJd-g6AGZpmEZr7w,"The default address doesn't work. I changed my default address and items still go to the original address. Already had to arrange for DPD to collect vital treatment to take to the correct address. Echo doesn't despatch what items are available, but wait until all are in stock. Took 3 weeks to receive order. By which time I ran out of half of my meds. Gone back to collecting from local pharmacy where I get my treatment within a week. Won't use service again. Awaiting refund of delivery charge.",2,5,4.31.0,2020-08-26 21:35:51,,
gp:AOqpTOFg7WJYBc-otbJJs7TcWb_IXSuYbzIAFTCKAUv4rtPCW2Xk9vrAKCzC2xXNbAZLQEbfO84ABKk4VeS4Pw,Nicola Ennis,https://play-lh.googleusercontent.com/-3MPh8UabkgI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck-Kp9c7E2RTHHRouutvYfmEbqEcA/photo.jpg,Amazing!,5,0,,2020-08-26 17:58:52,Thanks Nicola! - Katie,2020-08-26 21:40:08
gp:AOqpTOGrJIZqtDpNbD4kgqtQgRnWgZsSS4ikZMpeo2EgcHqXhYqiTsjMDA8q5eam0dLpXcgCQnyi1KLH7pJTgw,Tina Turnbull,https://play-lh.googleusercontent.com/-DpoDg2KNYYw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl4LGNQXGaRP86w5GdXjB0jDW2kFw/photo.jpg,So easy and fast,5,0,4.22.0,2020-08-25 22:21:46,Thanks for your review Tina! - Katie,2020-08-26 21:39:58
gp:AOqpTOG7SDEA7lbybFcmCrMwW8JmJ2F_KRKcKyF05-fL-uW13abYwVSXUeEFF8gOGNvVeXZSDcxQaacWsu7AzA,Tony Evans,https://lh3.googleusercontent.com/a-/AOh14GiGhV2ebSFTBnZrKePnqT5yW3t1Lpf2jCRne18k,Very convenient and easy,5,0,4.31.0,2020-08-25 17:36:41,Thank you for your review Tony! - Katie,2020-08-26 21:30:59
