review,stock_logistics,delivery_logistics,customer_service,app_functionality,service_functionality,locational_constraints,rating,version,type
"Poor Narcolepsy medication has been out of stock for days. I’ve run out. Don’t need to explain how that’s working out. They have a service to contact them optimistically called ‘chat’ but actually you send a message and get a reply the next day. Unless it’s the weekend obviously. No updates on what’s going on, no information on when I can expect to get it. Nothing. Several other drugs out of stock as well though I think that’s a national thing though they have given no indication of this. If you have important medicines stay well away. I’d say the risk of going to the pharmacy and catching COVID 19 is far less scary to me than the devastation caused by signing up to this service. Now have to work out how to get out.",1,0,1,0,0,0,1,4.23.2,apple
"Stressful! Ordering medication is so stressful, ordered a week ago, my GP still hasn’t issued a prescription & ran out now, it’s ridiculous you have to order about 2-3 weeks before prescription is due so get it in time, think will revert back to collecting myself it’s actually less stressful!",0,1,0,0,0,0,1,4.23.2,apple
"Reminders Stopped Working after 2 months Reminders stopped working after first two months for no reason, chatted with customer service and still not working",0,0,0,1,1,0,2,4.23.2,apple
Notifications You don’t notify me when I am running low on my medication.,0,0,0,0,1,0,1,4.22.0,apple
Awful experience Simply doesn’t work! 4 months in and need to revert to monthly collection - which will require a trip to my GP. Currently without my prescription.,0,0,0,0,0,0,1,4.22.0,apple
Good at first Seemed really good at first. Then I noticed if they didn’t have something it held the entire prescription up. I need my meds quickly and this is turning into a real headache now. If you need multiple prescriptions think twice before committing. Even after chasing im waiting another 4 days which is unacceptable.,1,1,0,0,0,0,2,4.22.0,apple
"Never received prescription Ordered my prescription online with echo and confirmed with my GP. They confirmed it and sent it. Never had a confirmation from echo, no information and said that if I don’t accept the prescription by a certain date it would be cancelled. I thought they were a service that sends it to your house? 
Having to use another service now and not happy at all.",0,1,0,0,0,0,1,4.22.0,apple
Not helpful Pathetic service,0,0,0,0,0,0,1,4.21.0,apple
"No stock! First time I used the service, and my prescription items were not in stock! Multiple delays for what are pretty mainstream medications for hypertension. 

Pretty poor!",1,0,0,0,0,0,1,4.21.0,apple
Won’t deliver controlled drugs Echo is more useful for people who don’t have complex prescriptions that need controlled drugs like morphine patches. Having to make a separate request for the other medications I need makes echo a slightly redundant service.,0,0,0,0,1,0,2,4.21.0,apple
"Don’t use if you actually need you medication Have been using these people for 2 months, both times they have only delivered part of my medication whilst missing items and not informing me when they will be delivered. Final straw was waiting 2 weeks for part of my medication and having to chase things up with them only to be told they had no intention of getting item in stock. Would of been nice to know so I could of sourced it elsewhere.",0,1,1,0,1,0,1,4.21.0,apple
"Great, but . . . Great idea but two problems: 1) I need the same medication every day for the rest of my life but I have to confirm every two weeks that I need it. 2) My peace of mind would be much greater if I had a buffer stock in case of supply problems.",1,0,0,0,0,0,1,4.20.0,apple
Where has it gone? Last month I did NOT order paracetamol but it was ordered and the surgery sent it through. Therefore you should not need to request it as you already have last months supply.,0,0,0,1,0,0,2,4.20.0,apple
Didn’t work Didn’t match anything BUT the app collected a lot of personal information and did NOT work at all.,0,0,0,1,0,0,1,4.19.0,apple
Crashes This now crashes on start up and asks you need buy app. What time to do this under COVID 19???????,0,0,0,1,0,0,1,4.19.0,apple
"The App is great, until you have an issue With straightforward prescription requests this app does what it says on the tin. I was happy with this. 
But, I now have a ‘repeat dispensing prescription’ and this app doesn’t work with these. 
You have to leave a ‘chat’ message through the app when you need your meds, however this hasn’t worked (keeps telling me to raise a prescription, which you don’t need to). You can call Echo (once you’ve found their telephone number) and wait 30 mins to talk to someone who gives you conflicting advice (leave a chat message or ask your Surgery for a prescription). Please note: at 37 mins the call is disconnected!
Yes this service is great and convenient to have meds posted to you, but getting help and matters sorted is not easy, you do all the leg work by timing around.",0,0,1,1,0,0,2,4.18.1,apple
Issues with requests Made a request and echo said it has asked my GP for a prescription. Waited for a week and then rang my GP - they had not had any requests through from Echo and had been having lots of issues with them. Ended up cancelling with Echo and ordered directly from GP. Not impressed and won’t be using again.,0,0,1,0,1,0,1,4.18.1,apple
"Needs to be clearer This service is not available in Scotland. I only found this out after downloading the app and trying to register. On second reading I found the information I needed buried deep in the blurb.

Please make this clearer and save us all a lot of disappointment!",0,0,0,0,1,1,1,4.18.0,apple
"Think twice before registering with Echo On the face of it, this is an excellent app and service but beware if the main hub is out of stock of one of your items, the whole of your prescription is on hold , or you can have the items in stock sent out but then they can’t release the remaining prescription back onto the NHS spine for your local pharmacy to dispense . It’s really difficult once you are in this loop, deciding what the quickest way of obtaining your meds is ..... especially if you are reliant upon them   .... Echo doesn’t seem to have any mechanism to advise on tablet availability , the staff on the chat are very polite and helpful .... but can’t advise on delivery .... I’ve just had my whole script sent back to my local Lloyds .... called in .... picked up my meds .... brought them home .... if it ain’t broke don’t fix it !",0,0,0,0,1,0,1,4.18.0,apple
"Virus app I tried to download this app and entered my email in the setup to obtain their verification email back. All I managed to get was PC errors and no email (in any folder!) 

Their ‘help’ desk has a very suspicious address and took them days to come back with nothing. 

Very odd! Especially with the loads of feedback they have",0,0,0,0,0,0,1,4.17.0,apple
"Cannot complete login process The app falls at the first hurdle 

When I try to register it does not tell you minimu password and o cannot get beyond that",0,0,0,1,0,0,1,4.17.0,apple
"Conflicting emails I keep receiving conflicting messages saying first that part of my order is being dispatched, then whole order dispatched and then a final message saying that my GP is reviewing my order.  First and last time i will use this App.",0,1,0,0,0,0,1,4.17.0,apple
"Boxes don’t fit into letterbox They used to used letterbox friendly boxes but now send huge boxes which have to be collected, which defeats the object.",0,0,0,1,1,0,2,4.17.0,apple
"Do not use this app If your life depends on your medication DO NOT USE THIS APP. 
Everything is fine. Until you don’t receive your medication. 
19 times out of 20 You can’t speak to anyone 
If you’re lucky enough to speak to someone, they’re not able to help or refund your money 
All you get is an empty apology",0,0,1,0,1,0,1,4.17.0,apple
